Academic Year,Term,Subject,Course No.,Course Title,Instructor,GPA,A (%),A- (%),B+ (%),B (%),B- (%),C+ (%),C (%),C- (%),D+ (%),D (%),D- (%),F (%),Withdraws,Graded Enrollment,CRN,Credits
2021-22,Fall,ENGL,1105,First-Year Writing,Lawrence,3.94,80,20,0,0,0,0,0,0,0,0,0,0,0,5,84477,3
2021-22,Fall,ENGL,1105,First-Year Writing,Cohen,3.2,40,0,0,40,0,0,20,0,0,0,0,0,1,5,84532,3
2021-22,Fall,ENGL,1105,First-Year Writing,Corradi,3.8,80,0,0,20,0,0,0,0,0,0,0,0,0,5,84567,3
2021-22,Fall,ENGL,1105,First-Year Writing,Saunders,2.9,16.7,33.3,16.7,0,16.7,0,0,0,0,0,0,16.7,0,6,84530,3
2019-20,Fall,ENGL,1105,First-Year Writing,Lawrence,3.56,88.9,0,0,0,0,0,0,0,0,0,0,11.1,0,9,84144,3
2020-21,Fall,ENGL,1105,First-Year Writing,Saunders,3.23,22.2,22.2,0,22.2,22.2,11.1,0,0,0,0,0,0,0,9,84461,3
2019-20,Fall,ENGL,1105,First-Year Writing,Palacio Ornelas,3.6,50,20,10,10,0,10,0,0,0,0,0,0,1,10,84145,3
2019-20,Fall,ENGL,1105,First-Year Writing,Drapeau,3.32,0,50,10,20,20,0,0,0,0,0,0,0,0,10,91149,3
2019-20,Spring,ENGL,1105,First-Year Writing,Lawrence,3.97,90,10,0,0,0,0,0,0,0,0,0,0,0,10,14368,3
2020-21,Fall,ENGL,1105,First-Year Writing,Portela,3.71,60,20,0,10,10,0,0,0,0,0,0,0,0,10,84390,3
2021-22,Fall,ENGL,1105,First-Year Writing,Neilan,3.14,10,40,20,20,0,0,0,0,0,0,0,10,3,10,84588,3
2019-20,Spring,ENGL,1105,First-Year Writing,Inthajak,3.69,45.5,18.2,36.4,0,0,0,0,0,0,0,0,0,0,11,19916,3
2020-21,Fall,ENGL,1105,First-Year Writing,Johnson,3.4,18.2,36.4,27.3,9.1,0,0,0,9.1,0,0,0,0,0,11,84381,3
2020-21,Fall,ENGL,1105,First-Year Writing,Payne,3.66,63.6,9.1,9.1,9.1,0,9.1,0,0,0,0,0,0,1,11,84391,3
2021-22,Fall,ENGL,1105,First-Year Writing,Portela,3.65,54.5,18.2,0,18.2,9.1,0,0,0,0,0,0,0,0,11,84525,3
2021-22,Fall,ENGL,1105,First-Year Writing,Dragon,3.39,63.6,0,9.1,18.2,0,0,0,0,0,0,0,9.1,0,11,84527,3
2021-22,Fall,ENGL,1105,First-Year Writing,Portela,3.22,18.2,27.3,18.2,18.2,9.1,0,0,0,0,9.1,0,0,1,11,84557,3
2021-22,Fall,ENGL,1105,First-Year Writing,Ewing,3.18,54.5,0,9.1,9.1,9.1,0,9.1,0,0,0,0,9.1,1,11,84574,3
2022-23,Spring,ENGL,1105,First-Year Writing,Karagulle,3.27,81.8,0,0,0,0,0,0,0,0,0,0,18.2,0,11,22668,3
2018-19,Fall,ENGL,1105,First-Year Writing,Baker,3.92,83.3,8.3,8.3,0,0,0,0,0,0,0,0,0,0,12,83912,3
2018-19,Fall,ENGL,1105,First-Year Writing,Lawrence,3.68,33.3,50,0,16.7,0,0,0,0,0,0,0,0,0,12,89942,3
2019-20,Fall,ENGL,1105,First-Year Writing,Jernegan,3.53,66.7,8.3,16.7,0,0,0,0,0,0,0,0,8.3,0,12,91150,3
2019-20,Spring,ENGL,1105,First-Year Writing,Inthajak,3.95,83.3,16.7,0,0,0,0,0,0,0,0,0,0,0,12,19917,3
2020-21,Fall,ENGL,1105,First-Year Writing,Taylor,3.78,66.7,8.3,16.7,8.3,0,0,0,0,0,0,0,0,0,12,84462,3
2020-21,Fall,ENGL,1105,First-Year Writing,Reynolds,3.39,58.3,16.7,0,8.3,0,8.3,0,0,0,0,0,8.3,0,12,84463,3
2021-22,Fall,ENGL,1105,First-Year Writing,Farrou,3.33,33.3,8.3,25,16.7,8.3,0,0,8.3,0,0,0,0,2,12,84565,3
2019-20,Fall,ENGL,1105,First-Year Writing,Baker,3.95,92.3,0,7.7,0,0,0,0,0,0,0,0,0,0,13,84115,3
2019-20,Fall,ENGL,1105,First-Year Writing,Massey,3.85,61.5,30.8,7.7,0,0,0,0,0,0,0,0,0,0,13,84150,3
2019-20,Fall,ENGL,1105,First-Year Writing,Becker,3.23,38.5,7.7,15.4,7.7,7.7,0,23.1,0,0,0,0,0,1,13,84152,3
2020-21,Fall,ENGL,1105,First-Year Writing,Lawrence,3.49,69.2,7.7,0,7.7,7.7,0,0,0,0,0,0,7.7,0,13,84384,3
2020-21,Fall,ENGL,1105,First-Year Writing,Shafer,3.53,53.8,7.7,15.4,7.7,0,15.4,0,0,0,0,0,0,0,13,84398,3
2020-21,Fall,ENGL,1105,First-Year Writing,Wilson,3.59,76.9,7.7,0,7.7,0,0,0,0,0,0,0,7.7,0,13,84437,3
2020-21,Fall,ENGL,1105,First-Year Writing,King,2.85,38.5,7.7,15.4,7.7,0,0,7.7,7.7,0,0,0,15.4,0,13,84458,3
2020-21,Fall,ENGL,1105,First-Year Writing,Taylor,3.44,53.8,15.4,15.4,0,0,0,7.7,0,0,0,7.7,0,1,13,91366,3
2020-21,Spring,ENGL,1105,First-Year Writing,Lawrence,3.47,69.2,7.7,0,0,15.4,0,0,0,0,0,0,7.7,0,13,14656,3
2020-21,Spring,ENGL,1105,First-Year Writing,Reynolds,3.64,84.6,0,7.7,0,0,0,0,0,0,0,0,7.7,2,13,21881,3
2021-22,Fall,ENGL,1105,First-Year Writing,Austin,3.21,46.2,15.4,0,7.7,7.7,15.4,0,0,0,0,0,7.7,0,13,84484,3
2021-22,Fall,ENGL,1105,First-Year Writing,Neilan,2.84,0,0,30.8,38.5,7.7,7.7,7.7,7.7,0,0,0,0,3,13,84569,3
2021-22,Fall,ENGL,1105,First-Year Writing,Passwater,3.45,69.2,0,15.4,0,0,7.7,0,0,0,0,0,7.7,1,13,84585,3
2021-22,Spring,ENGL,1105,First-Year Writing,Wallace,3.33,46.2,7.7,23.1,7.7,7.7,0,0,0,0,0,0,7.7,3,13,22093,3
2022-23,Fall,ENGL,1105,First-Year Writing,Morse,3.33,30.8,7.7,23.1,15.4,15.4,7.7,0,0,0,0,0,0,1,13,90707,3
2018-19,Fall,ENGL,1105,First-Year Writing,Garretson,3.8,50,42.9,0,7.1,0,0,0,0,0,0,0,0,0,14,83946,3
2018-19,Fall,ENGL,1105,First-Year Writing,Glasson-Darling,3.84,57.1,35.7,7.1,0,0,0,0,0,0,0,0,0,0,14,83955,3
2018-19,Fall,ENGL,1105,First-Year Writing,Taylor,3.36,42.9,14.3,14.3,14.3,0,7.1,0,0,0,0,7.1,0,0,14,89238,3
2019-20,Fall,ENGL,1105,First-Year Writing,Williams,3.05,42.9,21.4,7.1,0,0,7.1,7.1,0,0,0,0,14.3,0,14,84138,3
2019-20,Fall,ENGL,1105,First-Year Writing,Dresch,3.04,14.3,35.7,14.3,7.1,7.1,0,7.1,0,0,7.1,7.1,0,0,14,84140,3
2019-20,Fall,ENGL,1105,First-Year Writing,Garvoille,3.72,50,35.7,7.1,0,0,7.1,0,0,0,0,0,0,0,14,84141,3
2019-20,Fall,ENGL,1105,First-Year Writing,Smith,3.46,21.4,42.9,21.4,7.1,0,0,0,0,7.1,0,0,0,0,14,91162,3
2019-20,Spring,ENGL,1105,First-Year Writing,O'Kane,3.17,14.3,28.6,14.3,21.4,7.1,7.1,0,0,0,7.1,0,0,0,14,14362,3
2020-21,Fall,ENGL,1105,First-Year Writing,Jones,3.29,64.3,7.1,7.1,7.1,0,0,0,0,0,0,0,14.3,0,14,84357,3
2020-21,Fall,ENGL,1105,First-Year Writing,Drapeau,3.41,42.9,14.3,7.1,7.1,21.4,0,7.1,0,0,0,0,0,0,14,84359,3
2020-21,Fall,ENGL,1105,First-Year Writing,Palacio Ornelas,3.48,64.3,7.1,7.1,7.1,7.1,0,0,0,0,0,0,7.1,0,14,84380,3
2020-21,Fall,ENGL,1105,First-Year Writing,Elhauge,3.86,71.4,21.4,0,7.1,0,0,0,0,0,0,0,0,0,14,84383,3
2020-21,Fall,ENGL,1105,First-Year Writing,Hargrave,3.53,64.3,14.3,0,14.3,0,0,0,0,0,0,0,7.1,1,14,84385,3
2020-21,Fall,ENGL,1105,First-Year Writing,Raab,3.68,57.1,21.4,0,7.1,14.3,0,0,0,0,0,0,0,0,14,84399,3
2020-21,Fall,ENGL,1105,First-Year Writing,Inthajak,3.74,85.7,7.1,0,0,0,0,0,0,0,0,7.1,0,0,14,84400,3
2020-21,Fall,ENGL,1105,First-Year Writing,Jones,3.71,85.7,0,0,0,7.1,0,0,0,7.1,0,0,0,1,14,84405,3
2020-21,Fall,ENGL,1105,First-Year Writing,Correll,3.34,57.1,14.3,0,0,14.3,0,7.1,0,0,0,0,7.1,0,14,84426,3
2020-21,Fall,ENGL,1105,First-Year Writing,Flores Zaldivar,3.5,71.4,7.1,0,7.1,0,7.1,0,0,0,0,0,7.1,0,14,84430,3
2020-21,Fall,ENGL,1105,First-Year Writing,Zan,3.6,71.4,0,0,7.1,14.3,0,7.1,0,0,0,0,0,0,14,84442,3
2020-21,Fall,ENGL,1105,First-Year Writing,Mueller,3.61,35.7,42.9,7.1,0,7.1,7.1,0,0,0,0,0,0,1,14,84445,3
2020-21,Fall,ENGL,1105,First-Year Writing,Raab,2.96,14.3,35.7,21.4,7.1,0,0,7.1,0,0,0,0,14.3,0,14,84449,3
2020-21,Fall,ENGL,1105,First-Year Writing,Christopher,2.86,7.1,21.4,14.3,14.3,14.3,21.4,0,0,0,0,0,7.1,0,14,84466,3
2020-21,Fall,ENGL,1105,First-Year Writing,Wilson,3.72,64.3,14.3,7.1,0,14.3,0,0,0,0,0,0,0,0,14,84467,3
2020-21,Spring,ENGL,1105,First-Year Writing,Jones,3.34,57.1,7.1,7.1,7.1,7.1,0,7.1,0,0,0,0,7.1,1,14,21878,3
2021-22,Fall,ENGL,1105,First-Year Writing,Christopher,3.06,35.7,21.4,7.1,7.1,14.3,0,0,0,0,0,0,14.3,1,14,84493,3
2021-22,Fall,ENGL,1105,First-Year Writing,Austin,2.79,50,0,7.1,7.1,7.1,0,7.1,0,0,0,0,21.4,2,14,84501,3
2021-22,Fall,ENGL,1105,First-Year Writing,Jones,3.31,28.6,7.1,14.3,28.6,21.4,0,0,0,0,0,0,0,0,14,84515,3
2021-22,Fall,ENGL,1105,First-Year Writing,Saunders,2.7,14.3,7.1,14.3,14.3,21.4,0,7.1,14.3,0,0,0,7.1,2,14,84563,3
2021-22,Fall,ENGL,1105,First-Year Writing,Flores Zaldivar,3.32,50,35.7,0,0,0,0,0,0,0,0,0,14.3,1,14,84580,3
2022-23,Spring,ENGL,1105,First-Year Writing,Correll,3.08,50,14.3,0,7.1,7.1,0,7.1,0,0,0,0,14.3,4,14,14908,3
2018-19,Fall,ENGL,1105,First-Year Writing,Harjung,3.58,40,20,13.3,26.7,0,0,0,0,0,0,0,0,0,15,83924,3
2018-19,Fall,ENGL,1105,First-Year Writing,Bliss,2.96,26.7,13.3,0,26.7,6.7,6.7,13.3,0,0,0,0,6.7,2,15,83947,3
2018-19,Fall,ENGL,1105,First-Year Writing,Williams,3.65,66.7,6.7,0,6.7,20,0,0,0,0,0,0,0,0,15,83980,3
2018-19,Fall,ENGL,1105,First-Year Writing,McKoy,3.08,6.7,26.7,13.3,20,20,0,6.7,6.7,0,0,0,0,0,15,83983,3
2018-19,Fall,ENGL,1105,First-Year Writing,Thomas,3.07,6.7,20,26.7,6.7,20,13.3,6.7,0,0,0,0,0,0,15,89240,3
2018-19,Fall,ENGL,1105,First-Year Writing,Simons,2.72,6.7,20,6.7,13.3,6.7,13.3,13.3,20,0,0,0,0,0,15,89241,3
2018-19,Fall,ENGL,1105,First-Year Writing,Dhamala,3.46,6.7,53.3,13.3,20,6.7,0,0,0,0,0,0,0,1,15,89247,3
2018-19,Spring,ENGL,1105,First-Year Writing,Lawrence,3.76,73.3,13.3,0,6.7,0,0,6.7,0,0,0,0,0,0,15,19070,3
2019-20,Fall,ENGL,1105,First-Year Writing,Baker,3.83,53.3,40,6.7,0,0,0,0,0,0,0,0,0,0,15,84114,3
2019-20,Fall,ENGL,1105,First-Year Writing,Reynolds,3.41,66.7,20,0,0,0,0,0,0,0,0,0,13.3,0,15,84125,3
2019-20,Fall,ENGL,1105,First-Year Writing,Robertson,3.91,80,13.3,6.7,0,0,0,0,0,0,0,0,0,1,15,84130,3
2019-20,Fall,ENGL,1105,First-Year Writing,Jones,3.51,33.3,20,20,20,6.7,0,0,0,0,0,0,0,0,15,91147,3
2019-20,Fall,ENGL,1105,First-Year Writing,Saunders,3.79,53.3,33.3,6.7,6.7,0,0,0,0,0,0,0,0,1,15,91151,3
2019-20,Fall,ENGL,1105,First-Year Writing,Yu,3.15,20,33.3,6.7,0,33.3,0,0,0,0,0,0,6.7,0,15,91403,3
2019-20,Spring,ENGL,1105,First-Year Writing,Maycock,3.76,80,6.7,0,0,6.7,0,6.7,0,0,0,0,0,0,15,14364,3
2019-20,Spring,ENGL,1105,First-Year Writing,O'Kane,2.83,13.3,20,13.3,26.7,6.7,0,6.7,0,0,0,0,13.3,0,15,19932,3
2020-21,Fall,ENGL,1105,First-Year Writing,Massey,3.31,73.3,0,0,0,6.7,0,0,6.7,6.7,0,0,6.7,0,15,84362,3
2020-21,Fall,ENGL,1105,First-Year Writing,Massey,3.53,80,6.7,0,0,0,0,0,0,6.7,0,0,6.7,0,15,84364,3
2020-21,Fall,ENGL,1105,First-Year Writing,Lara,3.54,60,20,0,6.7,0,0,6.7,0,0,6.7,0,0,1,15,84408,3
2020-21,Fall,ENGL,1105,First-Year Writing,Drapeau,3.69,60,13.3,13.3,6.7,0,6.7,0,0,0,0,0,0,0,15,84414,3
2020-21,Fall,ENGL,1105,First-Year Writing,Drapeau,3.16,33.3,20,20,6.7,6.7,0,0,0,0,0,6.7,6.7,0,15,84420,3
2020-21,Fall,ENGL,1105,First-Year Writing,Wallace,3.22,60,0,13.3,6.7,0,0,0,6.7,0,6.7,0,6.7,0,15,84427,3
2020-21,Fall,ENGL,1105,First-Year Writing,Saunders,3.43,26.7,33.3,20,6.7,0,6.7,0,6.7,0,0,0,0,0,15,84432,3
2020-21,Fall,ENGL,1105,First-Year Writing,Jones,3.73,73.3,0,13.3,0,13.3,0,0,0,0,0,0,0,0,15,84459,3
2020-21,Fall,ENGL,1105,First-Year Writing,Whittemore,3.47,46.7,13.3,0,20,13.3,6.7,0,0,0,0,0,0,0,15,84464,3
2021-22,Fall,ENGL,1105,First-Year Writing,Craig,3.35,46.7,20,0,6.7,6.7,0,6.7,13.3,0,0,0,0,0,15,84465,3
2021-22,Fall,ENGL,1105,First-Year Writing,Austin,3.31,20,46.7,6.7,6.7,13.3,0,0,0,0,0,0,6.7,1,15,84468,3
2021-22,Fall,ENGL,1105,First-Year Writing,Homsher,3.01,40,26.7,0,0,6.7,6.7,0,0,6.7,0,0,13.3,0,15,84481,3
2021-22,Fall,ENGL,1105,First-Year Writing,Baker,3.98,93.3,6.7,0,0,0,0,0,0,0,0,0,0,0,15,84482,3
2021-22,Fall,ENGL,1105,First-Year Writing,Rush,3.89,80,13.3,0,6.7,0,0,0,0,0,0,0,0,2,15,84483,3
2021-22,Fall,ENGL,1105,First-Year Writing,Ankong,3.11,33.3,13.3,26.7,13.3,0,0,0,0,0,0,0,13.3,1,15,84487,3
2021-22,Fall,ENGL,1105,First-Year Writing,Awotayo,3.27,40,6.7,26.7,0,20,0,0,0,0,0,0,6.7,2,15,84491,3
2021-22,Fall,ENGL,1105,First-Year Writing,Zan,3.81,73.3,13.3,0,6.7,6.7,0,0,0,0,0,0,0,2,15,84502,3
2021-22,Fall,ENGL,1105,First-Year Writing,Drapeau,3.34,40,33.3,6.7,6.7,0,0,0,0,6.7,0,0,6.7,0,15,84517,3
2021-22,Fall,ENGL,1105,First-Year Writing,Jones,3.27,53.3,20,6.7,0,6.7,0,0,0,0,0,0,13.3,0,15,84528,3
2021-22,Fall,ENGL,1105,First-Year Writing,Richards,3.36,66.7,6.7,0,6.7,6.7,0,0,0,0,6.7,0,6.7,0,15,84551,3
2021-22,Fall,ENGL,1105,First-Year Writing,Morse,3.67,60,26.7,0,6.7,0,0,0,0,6.7,0,0,0,2,15,84566,3
2021-22,Fall,ENGL,1105,First-Year Writing,Gonsalves,3.18,46.7,0,6.7,20,13.3,0,6.7,0,0,0,0,6.7,1,15,84571,3
2021-22,Fall,ENGL,1105,First-Year Writing,Hooper,3.24,60,0,13.3,6.7,0,0,6.7,0,0,6.7,0,6.7,0,15,84576,3
2021-22,Fall,ENGL,1105,First-Year Writing,Cohen,2.92,40,26.7,0,0,6.7,6.7,0,0,0,0,0,20,2,15,84582,3
2021-22,Fall,ENGL,1105,First-Year Writing,Austin,3.47,53.3,6.7,13.3,6.7,6.7,0,13.3,0,0,0,0,0,1,15,92648,3
2021-22,Spring,ENGL,1105,First-Year Writing,Jones,3.36,46.7,13.3,13.3,6.7,13.3,0,0,0,0,0,0,6.7,2,15,14763,3
2022-23,Spring,ENGL,1105,First-Year Writing,Colombo,2.6,33.3,6.7,13.3,0,6.7,6.7,6.7,6.7,0,0,0,20,0,15,14895,3
2018-19,Fall,ENGL,1105,First-Year Writing,Mack,3.67,50,31.3,6.3,6.3,0,0,6.3,0,0,0,0,0,0,16,83925,3
